"Points Dashboard","لوحة التحكم للنقاط"
"Balance","الرصيد"
"My Points","نقاطي"
"Your current points:","رصيدك الحالي‫:‬"
"Winner List","المزادات التي فزت بها"
"Product Bidding History","ارشيف المزايدة على المنتج"
"Product Details For:","تفاصيل المزيادة ل‫:‬"
"New Price","سعر المزايدة"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","من لوحة التحكم الخاصة بك يمكنك مشاهدة آخر نشاط للحساب وتحديث معلوماتك. إختر الروابط بالأسفل لمشاهدة وتعديل المعلومات"
"Needed Points","النقاط المطلوبة"
